theta_over_pi,exact,L_4,L_8,L_16,L_32
0.4440734557595993,-0.059392535061326,-0.0568991544457293,-0.0591220119732317,-0.0593922017123462,-0.0593925350632829
0.4457429048414023,-0.0589983965949633,-0.0566465181897131,-0.0587340887603523,-0.0589980133976446,-0.058998396597183
0.4474123539232053,-0.0586082480956468,-0.0563988650856887,-0.0583507540897034,-0.0586078184919364,-0.0586082480980602
0.4490818030050083,-0.0582220450052128,-0.0561560391091142,-0.0579719437426488,-0.0582215727988909,-0.0582220450077453
0.4507512520868113,-0.0578397432814752,-0.0559178849853272,-0.0575975928088422,-0.0578392326049453,-0.057839743284049
0.4524207011686143,-0.05746129939339,-0.0556842482527621,-0.0572276357366121,-0.0574607546720002,-0.0574612993959266
0.4540901502504173,-0.0570866703162112,-0.055454975325379,-0.0568620063854798,-0.0570860962304093,-0.0570866703186334
0.4557595993322204,-0.0567158135266397,-0.0552299135542819,-0.0565006380806762,-0.0567152149722827,-0.0567158135288743
0.4574290484140234,-0.0563486869979701,-0.0550089112885005,-0.0561434636695158,-0.0563480690451175,-0.0563486869999501
0.4590984974958264,-0.0559852491952359,-0.0547918179349167,-0.0557904155794878,-0.0559846170457703,-0.0559852491969022
0.4607679465776294,-0.0556254590703556,-0.0545784840173108,-0.0554414258779186,-0.0556248180147788,-0.0556254590716592
0.4624373956594323,-0.0552692760572842,-0.054368761234507,-0.0550964263330585,-0.0552686314310419,-0.0552692760581871
0.4641068447412353,-0.0549166600671683,-0.0541625025175978,-0.054755348476444,-0.0549160172068594,-0.0549166600676451
0.4657762938230384,-0.0545675714835116,-0.053959562086225,-0.0544181236663843,-0.054566935683335,-0.0545675714835498
0.4674457429048414,-0.0542219711573481,-0.0537597955038987,-0.0540846831524215,-0.0542213476261377,-0.0542219711569486
0.4691151919866444,-0.0538798204024284,-0.0535630597323337,-0.0537549581406089,-0.0538792142216187,-0.0538798204016056
0.4707846410684474,-0.0535410809904192,-0.0533692131847848,-0.053428879859456,-0.0535404970732752,-0.0535410809892001
0.4724540901502504,-0.0532057151461177,-0.0531781157783606,-0.0531063796263853,-0.0532051581985508,-0.0532057151445414
0.4741235392320534,-0.0528736855426833,-0.0529896289853011,-0.0527873889145464,-0.0528731600259598,-0.0528736855407994
0.4757929883138564,-0.052544955296887,-0.0528036158831971,-0.0524718394198341,-0.0525444653925196,-0.0525449552947543
0.4774624373956594,-0.0522194879643809,-0.0526199412041378,-0.0521596631279567,-0.0522190375414737,-0.0522194879620655
0.4791318864774624,-0.051897247534989,-0.0524384713827679,-0.0518507923814027,-0.0518968401202856,-0.051897247532562
0.4808013355592654,-0.0515781984280195,-0.0522590746032393,-0.0515451599461549,-0.0515778371788819,-0.0515781984255555
0.4824707846410684,-0.0512623054876018,-0.0520816208450409,-0.0512426990780014,-0.0512619931681201,-0.0512623054851757
0.4841402337228714,-0.0509495339780471,-0.0519059819276925,-0.0509433435882966,-0.0509492729384581,-0.0509495339757327
0.4858096828046744,-0.0506398495792357,-0.0517320315542869,-0.050647027909026,-0.0506396417387962,-0.0506398495771029
0.4874791318864774,-0.0503332183820305,-0.0515596453538684,-0.0503536871570324,-0.050333065215468,-0.0503332183801434
0.4891485809682804,-0.0500296068837183,-0.0513887009226318,-0.050063257197261,-0.050029509411347,-0.0500296068821332
0.4908180300500835,-0.04972898198348,-0.0512190778639321,-0.0497756747048879,-0.0497289407650451,-0.0497289819822437
0.4924874791318865,-0.04943131097789,-0.0510506578270893,-0.0494908772261968,-0.0494313261101695,-0.0494313109770388
0.4941569282136895,-0.0491365615564459,-0.0508833245449795,-0.0492088032380713,-0.0491366326746114,-0.0491365615560041
0.4958263772954925,-0.0488447017971294,-0.0507169638704,-0.0489293922059788,-0.0488448280798351,-0.0488447017971086
0.4974958263772955,-0.0485557001619982,-0.0505514638111978,-0.048652584640319,-0.0485558803401407,-0.0485557001623974
0.4991652754590985,-0.0482695254928112,-0.0503867145641521,-0.0483783221510211,-0.0482697578618695,-0.0482695254936164
0.5008347245409015,-0.0479861470066852,-0.0502226085476006,-0.0481065475002724,-0.0479864294425268,-0.0479861470078705
0.5025041736227045,-0.0477055342917866,-0.0500590404328026,-0.0478372046532699,-0.0477058642697939,-0.0477055342933144
0.5041736227045075,-0.0474276573030557,-0.0498959071740282,-0.0475702388268884,-0.0474280319204044,-0.0474276573048782
0.5058430717863105,-0.0471524863579659,-0.0497331080373688,-0.0473055965361653,-0.0471529023588618,-0.0471524863600264
0.5075125208681135,-0.0468799921323175,-0.0495705446282596,-0.0470432256385072,-0.0468804459359748,-0.0468799921345526
0.5091819699499165,-0.0466101456560672,-0.0494081209177092,-0.0467830753755273,-0.04661063338719,-0.0466101456584083
0.5108514190317195,-0.0463429183091922,-0.0492457432672299,-0.0465250964124305,-0.0463434358307049,-0.0463429183115678
0.5125208681135225,-0.0460782818175912,-0.0490833204524638,-0.0462692408748668,-0.0460788247653425,-0.0460782818199287
0.5141903171953255,-0.04581620824902,-0.0489207636854997,-0.0460154623831796,-0.0458167720681751,-0.0458162082512487
0.5158597662771286,-0.0455566700090653,-0.0487579866358775,-0.0457637160839829,-0.0455572499918846,-0.0455566700111179
0.5175292153589316,-0.0452996398371538,-0.0485949054502759,-0.0455139586790051,-0.0453002311618499,-0.0452996398389686
0.5191986644407346,-0.0450450908025982,-0.0484314387708814,-0.0452661484511446,-0.0450456885729542,-0.0450450908041208
0.5208681135225376,-0.0447929963006807,-0.0482675077524357,-0.0450202452876892,-0.0447935955861078,-0.0447929963018658
0.5225375626043406,-0.0445433300487726,-0.0481030360779608,-0.0447762107006547,-0.0445439259244852,-0.0445433300495854
0.5242070116861436,-0.0442960660824924,-0.0479379499731595,-0.0445340078442082,-0.044296653669475,-0.0442960660829096
0.5258764607679466,-0.0440511787519001,-0.0477721782194924,-0.0442936015291444,-0.0440517532563487,-0.0440511787519103
0.5275459098497496,-0.0438086427177289,-0.0476056521659305,-0.0440549582343916,-0.0438091994696508,-0.043808642717333
0.5292153589315526,-0.0435684329476548,-0.0474383057393848,-0.0438180461155309,-0.043568967438321,-0.0435684329468663
0.5308848080133556,-0.0433305247126034,-0.0472700754538138,-0.0435828350103154,-0.0433310326305576,-0.0433305247114475
0.5325542570951586,-0.0430948935830938,-0.0471009004180114,-0.0433492964411863,-0.0430953708484342,-0.0430948935816068
0.5342237061769616,-0.0428615154256201,-0.0469307223420774,-0.0431174036147872,-0.0428619582222865,-0.0428615154238481
0.5358931552587646,-0.0426303663990705,-0.0467594855425739,-0.0428871314184832,-0.0426307712048845,-0.0426303663970683
0.5375626043405676,-0.042401422951183,-0.0465871369463711,-0.0426584564139009,-0.0424017865654093,-0.0424014229490121
0.5392320534223706,-0.0421746618150392,-0.0464136260931874,-0.0424313568275074,-0.0421749813832561,-0.0421746618127661
0.5409015025041737,-0.0419500600055948,-0.046238905136828,-0.0422058125382563,-0.0419503330416841,-0.0419500600032887
0.5425709515859767,-0.0417275948162468,-0.0460629288451275,-0.0419818050623318,-0.0417278192213375,-0.0417275948139778
0.5442404006677797,-0.0415072438154383,-0.0458856545986038,-0.0417593175350306,-0.0415074178936634,-0.0415072438132753
0.5459098497495827,-0.0412889848432999,-0.045707042387827,-0.041538334689824,-0.0412891073142503,-0.0412889848413083
0.5475792988313857,-0.0410727960083275,-0.0455270548095146,-0.0413188428346515,-0.0410728660161157,-0.0410727960065672
0.5492487479131887,-0.0408586556840972,-0.0453456570613564,-0.0411008298255006,-0.0408586728029693,-0.0408586556826211
0.5509181969949917,-0.0406465425060159,-0.0451628169355807,-0.0408842850373336,-0.0406465067424789,-0.0406465425048679
0.5525876460767947,-0.0404364353681085,-0.0449785048112686,-0.0406691993324276,-0.0404363471595673,-0.0404364353673227
0.5542570951585977,-0.0402283134198414,-0.0447926936454264,-0.0404555650261996,-0.0402281736297678,-0.0402283134194406
0.5559265442404007,-0.040022156062981,-0.0446053589628266,-0.0402433758505914,-0.0400219659726656,-0.0400221560629765
